SPKID,SubjectID
CBK91915,94699
CBK91936,15315
CBK91936,15325
CBK91936,15336
CBK91936,15602
CBK91936,15603
CBK91936,15606
CBK91936,15609
CBK91936,15610
CBK91936,15618
CBK91936,15622
CBK91936,15637
CBK91936,15638
CBK91936,15639
CBK91936,15640
CBK91936,15643
CBK91946,48850
CBK91946,52674
CBK91946,52710
CBK91946,99212
CBK91947,48850
CBK91947,52674
CBK91947,52710
CBK91947,99212
CBK91949,21513
CBK91949,21636
CBK91949,23115
CBK91949,23570
CBK91949,43123
CBK91949,43124
CBK91949,48210
CBK91949,48350
CBK91949,48370
CBK91949,48821
CBK91949,48840
CBK91949,48860
CBK91949,49049
CBK91950,21513
CBK91950,21636
CBK91950,23115
CBK91950,23570
CBK91950,43123
CBK91950,43124
CBK91950,48210
CBK91950,48350
CBK91950,48370
CBK91950,48821
CBK91950,48840
CBK91950,48860
CBK91950,49049
CBK91951,52671
CBK91951,52673
CBK91951,52713
CBK91951,92488
CBK91951,92574
CBK91951,92577
CBK91951,99200
CBK91951,99211
CBK91976,013993
CBK91976,54081
CBK91976,54083
CBK91976,54092
CBK91976,54098
CBK91976,977912
CBK91976,977913
CBK91976,97900
CBK91976,99209
CBK91977,976111
CBK91978,976411
CBK91979,976421
CBK91980,976431
CBK91981,976211
CBK91982,976451
CBK92000,68075
CBK92000,68316
CBK92000,68412
CBK92001,65508
CBK92001,65509
CBK92007,57222
CBK92007,57225
CBK92007,57227
CBK92007,57228
CBK92007,57230
CBK92007,57231
CBK92007,57232
CBK92007,57233
CBK92007,57235
CBK92007,57236
CBK92007,57303
CBK92007,59356
CBK92007,59721
CBK92009,57142
CBK92009,57222
CBK92009,57225
CBK92009,57227
CBK92009,57228
CBK92009,57230
CBK92009,57231
CBK92009,57232
CBK92009,57233
CBK92009,57235
CBK92009,57236
CBK92009,57303
CBK92009,59356
CBK92009,59721
CBK92012,21699
CBK92012,26600
CBK92017,014126
CBK92017,014162
CBK92017,570100
CBK92017,96341
CBK92018,77716
CBK92018,77740
CBK92018,77745
CBK92018,77938
CBK92018,77942
CBK92018,78026
CBK92018,78113
CBK92018,78122
CBK92018,78126
CBK92018,78206
CBK92018,78222
CBK92018,78244
CBK92018,78261
CBK92018,79771
CBK92022,320146
CBK92022,320513
CBK92022,320557
CBK92022,320606
CBK92022,420046
CBK92022,420047
CBK92022,420100
CBK92022,420101
CBK92022,420104
CBK92022,420107
CBK92022,420108
CBK92022,570100
CBK92023,320146
CBK92023,320513
CBK92023,320557
CBK92023,320606
CBK92023,420046
CBK92023,420047
CBK92023,420100
CBK92023,420101
CBK92023,420102
CBK92023,420103
CBK92023,420107
CBK92023,420108
CBK92023,570100
CBK92025,60002
CBK92025,60003
CBK92025,60004
CBK92025,60102
CBK92025,60105
CBK92025,60108
CBK92025,60116
CBK92025,60117
CBK92025,60119
CBK92025,68109
CBK92025,69507
CBK92025,96060
CBK92028,42991
CBK92028,43123
CBK92028,48350
CBK92028,48821
CBK92028,48860
CBK92028,65202
CBK92028,65306
CBK92028,65307
CBK92028,65411
CBK92029,42912
CBK92029,42991
CBK92029,43123
CBK92029,43124
CBK92029,48350
CBK92029,48362
CBK92029,48850
CBK92029,48860
CBK92029,48881
CBK92029,49049
CBK92029,49116
CBK92029,49123
CBK92032,013181
CBK92032,013182
CBK92032,013246
CBK92032,013247
CBK92032,013248
CBK92039,21702
CBK92039,21741
CBK92039,21811
CBK92039,21926
CBK92039,22747
CBK92039,25742
CBK92039,77740
CBK92039,78113
CBK92039,78188
CBK92039,78216
CBK92039,78244
CBK92039,78246
CBK92039,78725
CBK92039,78726
CBK92039,79771
CBK92047,76034
CBK92047,76037
CBK92047,76038
CBK92047,76081
CBK92047,78030
CBK92047,78039
CBK92050,91107
CBK92050,91123
CBK92071,54004
CBK92071,97900
CBK92112,21702
CBK92112,21797
CBK92112,21881
CBK92113,21879
CBK92113,21936
CBK92113,57300
CBK92115,21778
CBK92115,21881
CBK92115,21935
CBK92115,21952
CBK92120,21717
CBK92120,21832
CBK92120,21937
CBK92124,48350
CBK92124,48366
CBK92124,48370
CBK92124,48389
CBK92124,49118
CBK92124,49151
CBK92124,49258
CBK92126,32309
CBK92126,32310
CBK92126,42000
CBK92126,42035
CBK92126,42036
CBK92126,42037
CBK92126,43010
CBK92126,43011
CBK92131,976111
CBK92131,976211
CBK92131,976411
CBK92131,976421
CBK92131,976431
CBK92131,976451
CBK92136,15315
CBK92136,60002
CBK92136,60003
CBK92136,60004
CBK92136,60102
CBK92136,60105
CBK92136,60109
CBK92136,60116
CBK92136,60119
CBK92136,60904
CBK92136,91239
CBK92136,91567
CBK92136,91569
CBK92147,32567
CBK92147,42049
CBK92147,42050
CBK92147,42904
CBK92147,42913
CBK92147,43023
