SPKID,SPKID2
CBK92010,MAJ08980
CBK92010,SMJ08128
CBK92010,SMJ08220
CBK92010,SMJ08221
CBK92010,SMJ08223
CBK92010,SMJ10096
CBK92010,SMJ10097
CBK92011,CBK90171
CBK92011,CBK91014
CBK92011,MAJ08975
CBK92011,MAJ08976
CBK92011,SMJ08128
CBK92011,SMJ08220
CBK92011,SMJ08221
CBK92013,CBK91985
CBK92013,MAJ10055
CBK92013,MAJ10056
CBK92016,CBK92128
CBK92016,SMJ10168
CBK92020,STM91567
CBK92020,STM91580
CBK92026,STM91588
CBK92026,STM91589
CBK92026,STM91590
CBK92026,STM91591
CBK92026,STM91592
CBK92026,STM91593
CBK92027,STM90356
CBK92027,STM91595
CBK92030,STM91599
CBK92030,STM91600
CBK92030,STM91601
CBK92030,STM91602
CBK92031,STM91603
CBK92031,STM91604
CBK92031,STM91605
CBK92031,STM91606
CBK92033,STM91607
CBK92033,STM91608
CBK92033,STM91609
CBK92033,STM91610
CBK92034,STM91611
CBK92034,STM91612
CBK92034,STM91613
CBK92034,STM91614
CBK92034,STM91615
CBK92034,STM91616
CBK92035,STM91617
CBK92035,STM91618
CBK92035,STM91619
CBK92035,STM91620
CBK92035,STM91621
CBK92035,STM91622
CBK92041,CBK92044
CBK92041,CBK92045
CBK92042,CBK92043
CBK92042,SMJ09035
CBK92043,CBK92237
CBK92043,CBK92238
CBK92044,MAJ01151
CBK92044,MAJ10059
CBK92045,CBK92042
CBK92045,MAJ10058
CBK92045,MAJ10060
